ID,RAW,Translate,
13910,Tumhein yahaan kaisa lag raha hai?,How are you feeling here?,
13911,Main tumse pyaar karta hoon,I love you,
13912,Tumne kabhi samundar dekha hai?,Have you ever seen the sea?,
13913,Aaj ka din tumhare liye kaisa raha?,How was the day for you today?,
13914,Tum chup kyun ho?,Why are you silent?,
13915,Main tumhein bahut miss karoonga,I will miss you a lot,
13916,Tum mujhse door kyun jaa rahi ho?,Why are you going away from me?,
13917,Tumne kabhi hawai jahaz mein safar kiya hai?,Have you ever traveled in an airplane?,
13918,Tum mere saath chalo,Come with me,
13919,Main tumse baat karna chahta hoon,I want to talk to you,
13920,Tumhein phool pasand hain?,Do you like flowers?,
13921,Tumhare liye yeh kya hai?,What is this for you?,
13922,Aaj ka din tumhare liye accha kyun nahi raha?,Why was today not good for you?,
13923,Tumhara birthday kab hai?,When is your birthday?,
13924,Tum mujhe kab milogi?,When will you meet me?,
13925,Tumhari mehfil mein bahut maza aata hai,It is very enjoyable in your company,
13926,Tumne kabhi train li hai?,Have you ever taken a train?,
13927,Main yahaan se kab jaaunga?,When will I leave from here?,
13928,Tumhare chehre par muskaan dekhke accha lagta hai,It feels good to see a smile on your face,
13929,Tumhein paani chahiye?,Do you want water?,
13930,Main chaahta hoon tum mere saath chalo,I want you to come with me,
13931,Tum abhi tak kya kar rahe ho?,What are you doing right now?,
13932,Tumhari aankhein kitni khoobsurat hain,Your eyes are so beautiful,
13933,Tum mere saath khana khaogi?,Will you eat food with me?,
13934,Tum mujhe haath kyun nahi de rahe ho?,Why are you not giving me your hand?,
13935,Main yahaan se kab chala jaaunga?,When will I leave from here?,
13936,Tum meri zindagi ka sabse achha hissa ho,You are the best part of my life,
13937,Tumne kabhi snowfall dekha hai?,Have you ever seen snowfall?,
13938,Main aapse baat karna chahta hoon,I want to talk to you,
13939,Tumhein koi pareshaani hai?,Do you have any trouble?,
13940,Tumhari aankhon mein kya hai?,What is in your eyes?,
13941,Main aapke liye bahut khaas hoon,I am very special to you,
13942,Tum kyun mujhe ignore kar rahe ho?,Why are you ignoring me?,
13943,Tumhara phone number kya hai?,What is your phone number?,
13944,Main tumhein kabhi chhodunga nahi,I will never leave you,
13945,Tumhare baal kitne lambe hain,How long are your hair?,
13946,Tumse milke bahut khushi hui,I am very happy to meet you,
13947,Tumne kabhi bulbul dekhi hai?,Have you ever seen a bulbul?,
13948,Tum mujhe jaante ho?,Do you know me?,
13949,Main tumhari baat nahi sunna chahta,I don't want to listen to you,
13950,Tumhari kismat kaisi hai?,How is your luck?,
13951,Main tumhare saath rehna chahta hoon,I want to stay with you,
13952,Tumne kabhi khoya khoya chaand dekha hai?,Have you ever seen a lost moon?,
13953,Tumhara mood kaisa hai?,What is your mood like?,
13954,Main tumhein bahut miss karoonga,I will miss you a lot,
13955,Tumhara bag kahan hai?,Where is your bag?,
13956,Tumne kabhi aasman ko dekha hai?,Have you ever seen the sky?,
13957,Tum mere saath chalo,Come with me,
13958,Kya tum mujhse pyaar karte ho?,Do you love me?,
13959,Aaj ka din bahut khushnuma hai,Today is a very happy day,
13960,Tumne mere saath dhoka kiya hai,You have betrayed me,
13961,Meri zindagi ka maqsad kya hai?,What is the purpose of my life?,
13962,Hum roz subah jogging karte hain,We jog every morning,
13963,Main kisi se nahi darta,I am not afraid of anyone,
13964,Tumko koi problem hai kya?,Do you have any problem?,
13965,Humare paas bahut samay hai,We have a lot of time,
13966,Woh humein apna dil de chuke hain,They have given us their heart,
13967,Tumne yeh kitni baar kiya hai?,How many times have you done this?,
13968,Tum hamare saath raho na,Stay with us,
13969,Main tumhe kabhi nahi bhoolunga,I will never forget you,
13970,Aaj ki taaza khabar kya hai?,What is the latest news today?,
13971,Tumko kya hua hai?,What happened to you?,
13972,Woh humse jhagda kar rahe hain,They are fighting with us,
13973,Hum apne aapko khush rakhte hain,We keep ourselves happy,
13974,Tumse milke bahut khushi hui,I am very happy to meet you,
13975,Main aaj bahut khush hoon,I am very happy today,
13976,Tumne kuch khaya hai?,Have you eaten anything?,
13977,Humne aapki madad ki hai,We have helped you,
13978,Main yahan bahut door se aaya hoon,I have come from very far away,
13979,Tum kuch naya seekhna chahte ho?,Do you want to learn something new?,
13980,Meri aankhon mein aansu aagaye,Tears came into my eyes,
13981,Hum college ke baad coffee peete hain,We drink coffee after college,
13982,Tumhari baat bilkul sahi hai,What you are saying is absolutely right,
13983,Woh kisi se baat nahi karte,They do not talk to anyone,
13984,Mujhe tumhari sahayta chahiye,I need your help,
13985,Hum aaj ghar par hi rahenge,We will stay at home today,
13986,Tum mujhse kitna pyaar karte ho?,How much do you love me?,
13987,Woh bahut intelligent hai,They are very intelligent,
13988,Main tumhare saath hoon,I am with you,
13989,Tumne khana kha liya?,Have you eaten food?,
13990,Hum movie dekhne jayenge,We will go watch a movie,
13991,Tum kitni der tak yahan rukoge?,How long will you stay here?,
13992,Woh bahut achhe dost hain,They are very good friends,
13993,Humne kuch khaaya nahi hai,We haven't eaten anything,
13994,Tum kya kaam karte ho?,What work do you do?,
13995,Main yeh nahi chahta,I don't want this,
13996,Woh bahut sundar hai,They are very beautiful,
13997,Hum aapke saath jayenge,We will go with you,
13998,Tumne mujhe bahut khushi di,You have given me a lot of happiness,
13999,Mujhe bahut neend aa rahi hai,I am very sleepy,
14000,Meri behen bahut padhai karta hai,My sister studies a lot,
14001,Hum bahut der tak ghar par the,We were at home for a long time,
14002,Woh bahut muskurana pasand karte hain,They love to smile a lot,
14003,Tumne kuch padha hai?,Have you read anything?,
14004,Main tumse baat karna chahta hoon,I want to talk to you,
14005,Hum aaj bahut khush hai,We are very happy today,
14006,Tumhari aankhon mein khushi dikhti hai,Happiness can be seen in your eyes,
14007,Woh bahut achhe singer hain,They are very good singers,
14008,Main yahan se khushi se nahi jaunga,I will not leave from here happily,
14009,Tumne kuch suna hai?,Have you heard anything?,
14010,Hum dono bahut alag hai,We both are very different,
14011,Tum kya chahte ho?,What do you want?,
14012,Woh bahut khana khaate hain,They eat a lot of food,
14013,Mujhe bahut pyaas lag rahi hai,I am very thirsty,
14014,Meri zindagi mein bahut kuch hai,There is a lot in my life,
14015,Hum tumhari taraf dekh rahe hain,We are looking towards you,
14016,Tumne yeh kab kiya?,When did you do this?,
14017,Main yahan se kab jaunga?,When will I leave from here?,
14018,Woh bahut shaitan hai,They are very mischievous,
14019,Tumne mujhe bahut khush kiya hai,You have made me very happy,
14020,Humne kuch baat ki nahi hai,We haven't talked about anything,
14021,Tum mujhe bahut achhe lagte ho,I like you a lot,
14022,Main kuch nahi sunna chahta,I don't want to hear anything,
14023,Woh sote hue bahut cute lagte hain,They look very cute while sleeping,
14024,Humne aaj bahut kuch sikha hai,We have learned a lot today,
14025,Tumne mujhe bahut baar sataya hai,You have troubled me a lot,
14026,Mujhe bahut gussa aa raha hai,I am very angry,
14027,Meri pasand ki sabji kya hai?,What is my favorite vegetable?,
14028,Hum aaj library mein jayenge,We will go to the library today,
14029,Tumne kuch dekha hai?,Have you seen anything?,
14030,Woh bahut romantic hain,They are very romantic,
14031,Main tumhe kabhi nahi chodunga,I will never leave you,
14032,Tum kya karna chahte ho?,What do you want to do?,
14033,Humne usse bahut kuch diya hai,We have given them a lot of things,
14034,Tum mere saath kya karte ho?,What do you do with me?,
14035,Woh bahut achhe insan hain,They are very good people,
14036,Main yahan bahut din se hu,I have been here for a long time,
14037,Tum mujhe yaad karte ho?,Do you remember me?,
14038,Humne bahut kuch dekha hai,We have seen a lot of things,
14039,Tumne kuch likha hai?,Have you written anything?,
14040,Woh bahut mehnati hai,They are very hardworking,
14041,Main tumhe bahut miss karta hoon,I miss you a lot,
14042,Tum mere liye kya kar sakte ho?,What can you do for me?,
14043,Hum aaj bahut shopping karenge,We will do a lot of shopping today,
14044,Tumhari zindagi mein kya hai?,What is in your life?,
14045,Woh bahut saral insaan hai,They are very simple people,
14046,Main yahan se bahut khush jaunga,I will leave from here very happily,
14047,Tumne kya kaha?,What did you say?,
14048,Humne aaj bahut achha time spend kiya hai,We had a very good time today,
14049,Tum mere saath kal milna,Meet me tomorrow,
14050,Woh bahut kam bolte hain,They speak very less,
14051,Mujhe bahut dar lag raha hai,I am very scared,
14052,Meri aankhon se aansu nikal rahe hain,Tears are coming out of my eyes,
14053,Hum aaj bahut kuch seekhenge,We will learn a lot today,
14054,Tumne mujhse kabhi kuch chhupaya hai?,Have you ever hidden anything from me?,
14055,Main yahan se kab aunga?,When will I come back?,
14056,Woh bahut dildar hai,They are very kind,
14057,Tumne kabhi mujhe ye bataya nahi hai,You have never told me this,
14058,Humne bahut katon se ladna hai,We have to fight with a lot of difficulties,
14059,Tumhare pas kya hai?,What do you have?,
14060,Woh bahut bura insaan hai,They are very bad people,
14061,Main aaj bahut der tak kaam karta hua,I was working until late today,
14062,Tumne mujhe kuch diya hai?,Have you given me anything?,
14063,Hum aaj bahut mazaak karenge,We will joke a lot today,
14064,Tum mere saath kya karte ho?,What do you do with me?,
14065,Woh bahut khoobsurat hai,They are very beautiful,
14066,Mujhe bahut pareshani ho rahi hai,I am facing a lot of trouble,
14067,Meri behen aaj bahut khush hai,My sister is very happy today,
14068,Humne aaj bahut ghar saaf kiya hai,We cleaned the house a lot today,
14069,Tum mujhe bhul nahi sakte ho,You cannot forget me,
14070,Main tumhe kabhi chodunga nahi,I will never leave you,
14071,Woh hamesha muskurate rehte hain,They always keep smiling,
14072,Tumhari aankhon mein dard dikhta hai,Pain can be seen in your eyes,
14073,Hum aaj bahut khush the,We were very happy today,
14074,Tumne yeh kab suna?,When did you hear this?,
14075,Woh bahut samajhdar hai,They are very intelligent,
14076,Main yahan se kab chala jaunga?,When will I leave from here?,
14077,Tum mujhe bahut yaad aate ho,I remember you a lot,
14078,Main aaj bazaar jaunga,I will go to the market today,
14079,Tumhara kya hai ismein,What is in it for you?,
14080,Mujhe nahi pata tha ki woh aayegi,I didn't know she would come,
14081,Hum sab ek team mein khelenge,We will all play in the same team,
14082,Yeh kaisa hoga,How will this be?,
14083,Tumne mujhe kyun roka,Why did you stop me?,
14084,Woh bahut samajhdaar hai,He is very intelligent,
14085,Main tumhe kabhi maaf nahi karunga,I will never forgive you,
14086,Meri help karo,Help me,
14087,Yeh sab kya ho raha hai,What is happening here?,
14088,Tumhari gaadi mein petrol hai ki nahi,Is there petrol in your car?,
14089,Hum kis direction mein jaa rahe hai,Which direction are we going?,
14090,Tumhara phone kab band hoga,When will your phone turn off?,
14091,Woh kitne saal ka hai,How old is he?,
14092,Main tumhe bata deta hoon,I will tell you,
14093,Tumne kya khaya tha,What did you eat?,
14094,Hum kal milenge,We will meet tomorrow,
14095,Tumne kya socha tha,What did you think?,
14096,Woh mujhe baat nahi karna chahta,He doesn't want to talk to me,
14097,Main tumhare saath hoon,I am with you,
14098,Tumhe kya chahiye,What do you need?,
14099,Tumhara naam kya hai,What is your name?,
14100,Hum sab yahan kyun hain,Why are we all here?,
14101,Tumne apni zindagi mein kya kiya,What have you done in your life?,
14102,Main tumhe bahut pasand karta hoon,I like you a lot,
14103,Tumhara plan kya hai,What is your plan?,
14104,Woh tumhe bahut miss karta hai,He misses you a lot,
14105,Yeh humne kya kiya,What have we done?,
14106,Tum mujhe kabhi bhool mat jaana,Don't ever forget me,
14107,Hum yahan se kitne door hain,How far are we from here?,
14108,Tumhe kahi jaana hai kya,Do you need to go somewhere?,
14109,Woh meri zindagi ka sabse important insaan hai,He is the most important person in my life,
14110,Main apni zindagi se bahut khush hoon,I am very happy with my life,
14111,Tumne khana khaya,Did you eat food?,
14112,Hum yahaan kyun hai,Why are we here?,
14113,Tumhari aankhen kitni khoobsurat hai,Your eyes are so beautiful,
14114,Main yahan se jaldi nikalna chahta hoon,I want to leave from here quickly,
14115,Tum mere liye kitne important ho,How important are you to me?,
14116,Hum saath mein kaam karenge,We will work together,
14117,Tum kaise ho,How are you?,
14118,Main kaise ho sakta hoon,How can I be?,
14119,Tum humesha mere saath rehna,Always stay with me,
14120,Woh kitni der tak wahaan ruka,How long did he stay there?,
14121,Main tumhare saath hamesha khush rahunga,I will always be happy with you,
14122,Tumhe music pasand hai,Do you like music?,
14123,Hum apni baat chhodte hai,Let's leave our talk here,
14124,Tum mere liye kya kar sakte ho,What can you do for me?,
14125,Woh mujhse baat nahi karna chahta,He doesn't want to talk to me,
14126,Main yahaan se bahut door rehta hoon,I live very far from here,
14127,Tum mera best friend ho,You are my best friend,
14128,Hum sabko khana khilao,Feed everyone,
14129,Tumhe apni zindagi se khushi kaise milegi,How will you get happiness from your life?,
14130,Woh aajana chahta hai,He wants to come,
14131,Main usse baat nahi karna chahti,I don't want to talk to him,
14132,Tumhara chehra kitna pyara hai,Your face is so beautiful,
14133,Humne aaj bahut kaam kiya,We have done a lot of work today,
14134,Tumhe kis baat ka darr hai,What are you scared of?,
14135,Woh abhi tak aaya nahi,He hasn't come yet,
14136,Main kafi thak gaya hoon,I am quite tired,
14137,Tumhara phone kahan hai,Where is your phone?,
14138,Hum aaj kahan jaa rahe hai,Where are we going today?,
14139,Tumhe yahaan se kitni der tak lag jayegi,How long will it take for you to arrive here?,
14140,Woh tanha hai,He is lonely,
14141,Main tumse kabhi lad nahi sakta,I can never fight with you,
14142,Tumhare liye main kuch bhi kar sakta hoon,I can do anything for you,
14143,Humare paas kitni gaadiyaan hai,How many cars do we have?,
14144,Tum kahaan rehte ho,Where do you live?,
14145,Woh itna accha gaata hai,He sings so well,
14146,Main bahut khush hoon,I am very happy,
14147,Tumne kal raat kya kiya tha,What did you do last night?,
14148,Hum ek group mein hain,We are in the same group,
14149,Tumhare paas yeh kitna kaam hai,How much work do you have?,
14150,Woh bahut jaldi chala gaya,He left very quickly,
14151,Main tumhara intezaar kar rahi hoon,I am waiting for you,
14152,Tumhe kitne baje uthna hai,What time do you need to wake up?,
14153,Humne yeh sahi kiya,We did the right thing,
14154,Tum kisi se pyaar karte ho,Do you love someone?,
14155,Woh apni zindagi ka sabse bada sapna pura karna chahta hai,He wants to fulfill his biggest dream in life,
14156,Main tumhara saath bahut miss kar raha hoon,I am missing you a lot,
14157,Tumne bahut accha kiya,You did a very good job,
14158,Hum aaj bahut kush hai,We are very happy today,
14159,Tumhe kya pareshani hai,What troubles you?,
14160,Woh tumhare liye bahut khaas hai,He is very special for you,
14161,Main wahan se jaldi se nikalna chahta hoon,I want to leave from there quickly,
14162,Tumhara kaam kaisa chal raha hai,How is your work going?,
14163,Humari zindagi mein kitni khushiyan hai,How many joys are there in our life?,
14164,Tum kisi se ladai kyun karte ho,Why do you fight with someone?,
14165,Woh bahut acchi acting karta hai,He acts very well,
14166,Main tumse baat nahi karna chahta,I don't want to talk to you,
14167,Tumhare hote hue main khush hoon,I am happy because of you,
14168,Hum abhi tak kahaan hai,Where are we till now?,
14169,Tumhari aawaz bahut sundar hai,Your voice is very beautiful,
14170,Woh kisi se baat nahi karna chahta,He doesn't want to talk to anyone,
14171,Main tumse milna chahta hoon,I want to meet you,
14172,Tum humesha mere saath ho,You are always with me,
14173,Humne aaj bahut kuch seekha,We learned a lot today,
14174,Tumhara kaam bahut accha hai,Your work is very good,
14175,Woh kitna busy hai,How busy is he?,
14176,Main kal tumse milunga,I will meet you tomorrow,
14177,Tumne kya dekha tha,What did you see?,
14178,Hum yahan se kis direction mein jaa rahe hai,In which direction are we going from here?,
14179,Tum apni zindagi mein kya chahte ho,What do you want in your life?,
14180,Woh tumhare saath masti karna chahta hai,He wants to have fun with you,
14181,Main tumhari help kar sakta hoon,I can help you,
14182,Tumhe yahan se jaldi nikalna chahiye,You should leave from here quickly,
14183,Hum itne dino se kahaan the,Where were we for so many days?,
14184,Tum in sub cheezo se kaise bachoge,How will you save yourself from all these things?,
14185,Woh tumhari baat nahi sunna chahta,He doesn't want to listen to you,
14186,Main tumhari zindagi mein hamesha ke liye rahunga,I will stay in your life forever,
14187,Tumhe bahut kuch sikhna hai,You have to learn a lot of things,
14188,Humne yeh kya kiya,What have we done?,
14189,Tum kya khaogi,What will you eat?,
14190,Woh yahan se kitni dur hai,How far is he from here?,
14191,Main tumse pyaar karta hoon,I love you,
14192,Tumhari aankhen kitni khoobsurat hai,Your eyes are so beautiful,
14193,Hum yahaan se bahut door jaa rahe hai,We are going very far from here,
14194,Tum mujhse baat kyun nahi karte,Why don't you talk to me?,
14195,Woh meri help karne ko tayyar nahi hai,He is not ready to help me,
14196,Main yahaan se kab jaaunga,When will I leave from here?,
14197,Tumhari zindagi mein main ek important part ho,I am an important part of your life,
14198,Kabhi kabhi to ladai jhagda ho jata hai,Sometimes fights and arguments happen.,
14199,Main paani peeta hu,I drink water.,
14200,Main yeh soch raha hu ki aaj ke baad main kabhi nahi piyunga,"I am thinking that from today onwards, I will never drink again.",
14201,Mera bhai doctor hai,My brother is a doctor.,
14202,Meri choti behan bahut cute hai,My younger sister is very cute.,
14203,Main kabhi kisi se pyar nahi kiya hu,I have never been in love with anyone.,
14204,Main bohot accha dance karta hu,I'm a very good dancer.,
14205,Mujhe pizza khana bohot accha lagta hai,I really enjoy eating pizza.,
14206,Meri friend list mein bahut saare log hai,I have a lot of people in my friend list.,
14207,Mere dost bahut acche hai,My friends are very nice.,
14208,Meri college life bohot acchi hai,My college life is very good.,
14209,Meri hobby hai books padhna,Reading books is my hobby.,
14210,Main casual kapde pehnta hu,I wear casual clothes.,
14211,Mera favorite movie hai Dilwale Dulhania Le Jayenge,My favorite movie is Dilwale Dulhania Le Jayenge.,
14212,Main romantic songs sunta hu,I listen to romantic songs.,
14213,Main bohot baar galti kar chuka hu,I have made a lot of mistakes in the past.,
14214,Mera favorite color hai black,Black is my favorite color.,
14215,Main bahut dukhi hota hu jab bhi rota hu,I feel very sad whenever I cry.,
14216,Meri life mein struggle hai confidence ka,Confidence is a struggle in my life.,
14217,Mujhe non-veg khana pasand hai,I like eating non-vegetarian food.,
14218,Main garam doodh peeta hu,I drink hot milk.,
14219,Meri hobbies bohot acchi hai,I have very good hobbies.,
14220,Meri zindgi mein accha family aur friends hai,I have a good family and friends in my life.,
14221,Mujhe romantic songs pasand hai,I like romantic songs.,
14222,Meri girlfriend bahut acchi hai,My girlfriend is very nice.,
14223,Meri school life bohot acchi thi,My school life was very good.,
14224,Main non-veg khata hu,I eat non-vegetarian food.,
14225,Main apni life mein zyada confidence chahta hu,I want more confidence in my life.,
14226,Meri travel karna bohot interesting hai,Traveling is very interesting for me.,
14227,Mujhe acche dost milna pasand hai,I like meeting good friends.,
14228,Main abhi students hu,I am currently a student.,
14229,Mere aankho ka rang brown hai,The color of my eyes is brown.,
14230,Main padhai karta hu,I study.,
14231,Mainne kabhi kiss nahi kiya hai,I have never kissed anyone.,
14232,Main yeh soch raha hu ki zyada acche friends banau,I am thinking of making better friends.,
14233,Tumhari hare kusur dil se nikal jayega,All your mistakes will be forgiven from the heart.,
14234,Main kuch logon ko follow karta hu,I follow some people.,
14235,Mainne kabhi bike nahi chalayi hai,I have never ridden a bike.,
14236,Main naya language sikhna chahta hu,I want to learn a new language.,
14237,Main kal school nahi jaaunga,I won't go to school tomorrow.,
14238,Tumhare ghar mein kaun kaun hai?,Who all are there in your house?,
14239,Aaj ka mausam kaisa hai?,How is the weather today?,
14240,Mere paas abhi paise nahi hai,I don't have money right now.,
14241,Tum kaun si class mein ho?,Which class are you in?,
14242,Main yahan ek saal se raha hoon,I have been living here for a year.,
14243,Tumhara naam kya hai?,What is your name?,
14244,Main apna phone charge karna bhool gaya,I forgot to charge my phone.,
14245,Kya tumne apna kaam poora kiya hai?,Have you finished your work?,
14246,Aaj mere birthday par main party de raha hoon,I am throwing a party today on my birthday.,
14247,Tum kahan rahete ho?,Where do you live?,
14248,Woh gaana mujhe bahut pasand hai,I really like that song.,
14249,Tumne aaj subah chai peeli?,Did you have tea this morning?,
14250,Main apne dost se baat kar raha tha,I was talking to my friend.,
14251,Tumhara favourite colour kaun sa hai?,What is your favorite color?,
14252,Main aaj bahut khush hoon,I am very happy today.,
14253,Tumne naya phone liya?,Did you buy a new phone?,
14254,Woh ek doctor hai,He is a doctor.,
14255,Tumhe kya chahiye?,What do you want?,
14256,Main aaj subah jaldi utha tha,I woke up early this morning.,
14257,Tumne kal kya kiya tha?,What did you do yesterday?,
14258,Main tumhe kal phone karunga,I will call you tomorrow.,
14259,Tum kitne baje khana khate ho?,At what time do you have your meals?,
14260,Main kal swimming pool jaaunga,I will go to the swimming pool tomorrow.,
14261,Tumne kya khaya tha dinner mein?,What did you have for dinner?,
14262,Main school jaa raha hoon,I am going to school.,
14263,Aaj kya plans hai?,What are the plans for today?,
14264,Tum kis gaane ko sun rahe ho?,Which song are you listening to?,
14265,Main aapse baad mein milunga,I will meet you later.,
14266,Tum kya padh rahe ho?,What are you studying?,
14267,Main aaj bahut thak gaya hoon,I am very tired today.,
14268,Tumne kal movie dekhi thi?,Did you watch a movie yesterday?,
14269,Woh bahut intelligent hai,He is very intelligent.,
14270,Tumne apna homework kiya hai?,Have you done your homework?,
14271,Main abhi tak khana nahi khaya,I haven't eaten yet.,
14272,Tum kitne time tak padh sakte ho?,How long can you study?,
14273,Main aaj bahut busy hoon,I am very busy today.,
14274,Tumhe kaunsi book achhi lagti hai?,Which book do you like?,
14275,Main tumhe bahut miss karta hoon,I miss you a lot.,
14276,Tum apna breakfast kiya?,Did you have your breakfast?,
14277,Woh bahut accha singer hai,He is a very good singer.,
14278,Tumne movie tickets book kiye hai?,Did you book the movie tickets?,
14279,Main aaj office ja raha hoon,I am going to the office today.,
14280,Tumhari family kitni members se hai?,How many members are there in your family?,
14281,Aaj kaun se show mein jaa rahe ho?,Which show are you going to?,
14282,Tumne chai mein kitna sugar daala hai?,How much sugar did you put in the tea?,
14283,Main aaj sair karne jaa raha hoon,I am going for a walk today.,
14284,Tumhe kaunsa actor pasand hai?,Which actor do you like?,
14285,Main abhi bahut bhookha hoon,I am very hungry right now.,
14286,Tum koi naya hobby shuru kiya hai?,Have you started any new hobbies?,
14287,Main apne dost ke saath reh raha hoon,I am staying with my friend.,
14288,Tumne apna phone repair karaya hai?,Did you get your phone repaired?,
14289,Aaj main apna room saaf karunga,I will clean my room today.,
14290,Woh kaafi busy hai,He is quite busy.,
14291,Tumne apna exercise kar liya hai?,Have you done your exercise?,
14292,Main apni family ke saath jaa raha hoon,I am going with my family.,
14293,Tumne apne friends ke saath movie dekhi?,Did you watch a movie with your friends?,
14294,Main aaj bahut nakhre kar raha hoon,I am being very demanding today.,
14295,Tumhari aankhein bahut sundar hai,Your eyes are very beautiful.,
14296,Tumhare paas koi suggestions hai?,Do you have any suggestions?,
14297,Main bachpan se piano baja raha hoon,I have been playing the piano since childhood.,
14298,Tumhare paas pet hai?,Do you have a pet?,
14299,Aaj hum kaun sa restaurant try karenge?,Which restaurant should we try today?,
14300,Tumhari car kaunsi hai?,Which car do you have?,
14301,Main aaj tennis khelunga,I will play tennis today.,
14302,Tumhare paas kitni saari books hai?,How many books do you have?,
14303,Woh bahut talented hai,He is very talented.,
14304,Tumne kya banaya hai khane mein?,What have you cooked for the meal?,
14305,Aaj kaunse dress mein jaa rahe ho?,What dress are you going to wear today?,
14306,Tumhare boss ka nature kaisa hai?,How is your boss's nature?,
14307,Main aaj late aaya hoon,I am running late today.,
14308,Tumne apna room saaf kiya hai?,Did you clean your room?,
14309,Aaj main naye shoes le jaa raha hoon,"Today, I'm going to buy new shoes.",
14310,Tum apne birthday par kya gift chahiye?,What gift do you want on your birthday?,
14311,Main aaj tea nahi peeyunga,I will not have tea today.,
14312,Tumhare paas kitne dresses hai?,How many dresses do you have?,
14313,Main apna bike repair karana chahta hoon,I want to get my bike repaired.,
14314,Tumne naya phone kharida?,Did you buy a new phone?,
14315,Main aaj yoga kar raha hoon,I am doing yoga today.,
14316,Tumhari hobby kya hai?,What is your hobby?,
14317,Aaj hum shopping karne jayenge,"Today, we are going shopping.",
14318,Tumne khana kha liya?,Did you have your meal?,
14319,Main aaj friends ke saath picnic jaa raha hoon,I'm going for a picnic with friends today.,
14320,Tumhe ice cream pasand hai?,Do you like ice cream?,
14321,Main abhi office se free hua hoon,I have just finished work from the office.,
14322,Tumne kya socha hai apne future ke baare mein?,What have you thought about your future?,
14323,Tumne apna phone update karaya hai?,Have you updated your phone?,
14324,Main aaj kuch special banane wala hoon khane mein,I'm going to make something special to eat today.,
14325,Tumhara koi favourite dish hai?,Do you have a favorite dish?,
14326,Main aaj pizza order karunga,I will order pizza today.,
14327,Tumhare paas koi special talent hai?,Do you have any special talent?,
14328,Aaj hum kitni shopping karenge?,How much shopping are we going to do today?,
14329,Tum kis type ke movies pasand karte ho?,What type of movies do you like?,
14330,Main aaj photography karunga,I'm going to do photography today.,
14331,Tumhari favourite sport kaunsa hai?,What is your favorite sport?,
14332,Main aaj thoda late aaya hoon,I arrived a little late today.,
14333,Tumne kya seekha apne college mein?,What have you learned in your college?,
14334,Aaj hum ghar par hi rahenge,We will stay at home today.,
14335,Tumne kya khoya hai zindagi mein?,What have you lost in your life?,
14336,Woh bahut mature hai apni age ke liye,He/she is very mature for their age.,
14337,Tumhari favourite cuisine kaun si hai?,What is your favorite cuisine?,
14338,Main aaj kahani likhunga,I will write a story today.,
14339,Tumne kya decide kiya hai career ke baare mein?,What have you decided about your career?,
14340,Aaj hum kahan jaayenge?,Where are we going today?,
14341,Tum kis instrument ko bajana chahte ho?,Which instrument do you want to play?,
14342,Main aaj painting karunga,I will do painting today.,
14343,Tumhari favourite snack kaunsa hai?,What is your favorite snack?,
14344,Main group discussion participate karunga,I will participate in a group discussion.,
14345,Tumne apne skills improve kiye hai?,Have you improved your skills?,
14346,Main aaj gym ja raha hoon,I'm going to the gym today.,
14347,Tumhare paas kaunsa phone hai?,Which phone do you have?,
14348,Aaj hum kitne museums visit karenge?,How many museums are we going to visit today?,
14349,Tumne kisi interesting place par travel kiya hai?,Have you traveled to any interesting place?,
14350,Main apne knowledge ko improve kar raha hoon,I'm improving my knowledge.,
14351,Tumhari favourite holiday destination kaunsa hai?,What is your favorite holiday destination?,
14352,Main aaj swimming kar raha hoon,I'm going swimming today.,
14353,Tumne kya try kiya naya khane ki recipe mein?,Have you tried any new recipes for food?,
14354,Aaj hum kitne parks mein jayenge?,How many parks will we visit today?,
14355,Tumhari favourite dessert kaunsa hai?,What is your favorite dessert?,
14356,Aaj mausam bahut suhana hai,The weather is very pleasant today.,
14357,Main aapko kab se dhundh raha hu,I have been looking for you since when.,
14358,Usne mujhe bhut hasaya,He/she made me laugh a lot.,
14359,Tumhara ghar bahut sundar hai,Your house is very beautiful.,
14360,Mujhe aaj bahut khushi ho rahi hai,I am very happy today.,
14361,Mera bhai bahut dimag wala hai,My brother is very intelligent.,
14362,Tum kya kar rahe ho,What are you doing?,
14363,Main aapka bahut abhari hu,I'm very grateful to you.,
14364,Usne mujhe bahut samjhaya,He/she explained a lot to me.,
14365,Hum apne ghar par aajayenge,We will come to your house today.,
14366,Tumhara beta bahut pyara hai,Your son is very cute.,
14367,Usne mujhe bahut kaam diya,He/she gave me a lot of work.,
14368,Tumhara phone kab se nahi aaya,Since when haven't you received your phone?,
14369,Meri aankhen bahut khubsurat hai,My eyes are very beautiful.,
14370,Mujhe yaha akele chod do,Leave me alone here.,
14371,Tum itna jaldi kaise so jate ho,How do you fall asleep so quickly?,
14372,Main koi kam nahi kar raha hun,I'm not doing any work.,
14373,Usne mujhe bahut khana khilaya,He/she fed me a lot of food.,
14374,Tum aisa kyu kar rahe ho,Why are you doing that?,
14375,Mujhe samajh me nahi aa raha hai,I don't understand.,
14376,Main aapke sath rahana pasand karunga,I would like to stay with you.,
14377,Usne mere saath dhokha kiya,He/she betrayed me.,
14378,Tumne apna phone kahi par rakha hai,Where did you keep your phone?,
14379,Meri duniya bas tumhare liye hai,My world is only for you.,
